"stable_archive_family_id","title_aliases","canonical_source_controller_path","sha256","current_website_urls","entity_type","volume_category_subfolder","publication_status","related_ids","duplicate_version_conflict_flags","placement_decision","proposed_action"
"IO-FAMILY-CAPITAL-AMPLIFICATION","Capital Amplification and the Myth of Equal Opportunity","src/data/archive-navigation.ts#archivePapers[capital-amplification]; src/data/clearance-queue.ts#nextClearanceQueue[capital-amplification-equal-opportunity]","NOT_RECORDED_IN_PUBLIC_CONTROLLER","NONE","archive-family; clearance-queue","Volume I; Volume I / Political economy, labor, and equal opportunity / Capital amplification and equal opportunity [primary]","Archive catalogue entry · editorial review; working_paper","NONE","not-cleared-for-public-release","RESOLVED_OR_NOT_APPLICABLE","HOLD"
"IO-FAMILY-CASPIAN_SUPPLY_CORRIDOR","The Tragic Caspian Supply Corridor: Russia, Iran, and China","src/data/archive-navigation.ts#archivePapers[caspian-supply-corridor]","NOT_RECORDED_IN_PUBLIC_CONTROLLER","NONE","archive-family","Volume II / Empire, geopolitics, and sovereignty / Caspian supply corridor [primary]","Archive catalogue entry · editorial review","NONE","none","RESOLVED_OR_NOT_APPLICABLE","EXCLUDE"
"IO-FAMILY-CEILING_ACCOUNTABILITY","The Ceiling of Accountability","src/data/archive-navigation.ts#archivePapers[ceiling-accountability]","NOT_RECORDED_IN_PUBLIC_CONTROLLER","NONE","archive-family","Volume III / E. Governance, legitimacy, and accountability / Direct paper shelf [primary]","Archive catalogue entry · editorial review","NONE","none","RESOLVED_OR_NOT_APPLICABLE","EXCLUDE"
"IO-FAMILY-CHILDREN-LEFT-BEHIND","Children Left Behind After a War | Children Left Behind After a War: Why Vietnam Produced a Visible ""War-Child"" Generation—and Iraq Did Not","src/data/archive-navigation.ts#archivePapers[children-left-behind]; src/data/papers.ts#paperDocuments[children-left-behind-after-a-war]","79817c5a31f7ae2155a0ce4f6d71cb9204d670b4292f053b231ca553b8504db0","/library/documents/children-left-behind-after-a-war/","archive-family; paper-synopsis","Volume III / Conflict, Demography & Social Visibility; Volume III / F. Education, medicine, health, and human capital / Direct paper shelf [primary]","Public author paper; Author working paper","NONE","none","RESOLVED_OR_NOT_APPLICABLE","KEEP"
"IO-FAMILY-CITIZENS_WITHOUT_A_COUNTRY","Citizens Without a Country: The Democratic Legitimacy Crisis of Non-Resident Birthright Voting in U.S. Federal Elections","src/data/archive-navigation.ts#archivePapers[citizens-without-a-country]; src/data/papers.ts#paperDocuments[citizens-without-a-country]","22ca0a1781616e4c743fe6dcb60374ccd8b28362b941f0b144c72e12f0698472","/library/documents/citizens-without-a-country/","archive-family; paper-synopsis","Volume II / Democracy, Citizenship & Voting; Volume II / Immigration, citizenship, and border / Citizens without a country [primary]","Public author paper; Author working paper","NONE","none","RESOLVED_OR_NOT_APPLICABLE","KEEP"
"IO-FAMILY-CIVIL_RIGHTS_REALIGNMENT","Civil Rights Realignment and Party Sorting in the United States","src/data/archive-navigation.ts#archivePapers[civil-rights-realignment]","NOT_RECORDED_IN_PUBLIC_CONTROLLER","NONE","archive-family","Volume II / Democracy, institutions, and party power / Bipartisan betrayal and party continuity [primary]","Archive catalogue entry · editorial review","NONE","none","RESOLVED_OR_NOT_APPLICABLE","EXCLUDE"
"IO-FAMILY-CIVILIZATIONAL_CAPACITY","Civilizational Capacity and the Political Economy of Scapegoating","src/data/archive-navigation.ts#archivePapers[civilizational-capacity]","NOT_RECORDED_IN_PUBLIC_CONTROLLER","NONE","archive-family","Volume III / B. Deindustrialization, welfare, social control, and cultural displacement / Direct paper shelf [primary]","Archive catalogue entry · editorial review","NONE","none","RESOLVED_OR_NOT_APPLICABLE","EXCLUDE"
"IO-FAMILY-COMMAND_ECONOMIES","How Command States Finance Power: Militarization and Technological Mobilization","src/data/archive-navigation.ts#archivePapers[command-economies]","NOT_RECORDED_IN_PUBLIC_CONTROLLER","NONE","archive-family","Volume II / Empire, geopolitics, and sovereignty / Command economies, militarization, and technological mobilization [primary]","Archive catalogue entry · editorial review","NONE","none","RESOLVED_OR_NOT_APPLICABLE","EXCLUDE"
"IO-FAMILY-CYCLES_POLITICAL_HYPOCRISY","The Cycles of Political Hypocrisy","src/data/archive-navigation.ts#archivePapers[cycles-political-hypocrisy]","NOT_RECORDED_IN_PUBLIC_CONTROLLER","NONE","archive-family","Volume III / E. Governance, legitimacy, and accountability / Direct paper shelf [primary]","Archive catalogue entry · editorial review","NONE","none","RESOLVED_OR_NOT_APPLICABLE","EXCLUDE"
"IO-FAMILY-DEATH_OF_EVIDENTIARY_PATIENCE","The Death of Evidentiary Patience","src/data/archive-navigation.ts#archivePapers[death-of-evidentiary-patience]","NOT_RECORDED_IN_PUBLIC_CONTROLLER","NONE","archive-family","Volume I / Documentation, memory, and evidence / Death of evidentiary patience [primary]","Archive catalogue entry · editorial review","NONE","none","RESOLVED_OR_NOT_APPLICABLE","EXCLUDE"
"IO-FAMILY-DEMOCRACYS-ACHILLES-HEEL","Democracy’s Achilles’ Heel: Institutional Incentives and Political Outcomes | Democracy’s Achilles’ Heel","src/data/archive-navigation.ts#archivePapers[democracys-achilles-heel]; src/data/green-publications.ts#greenPublications[IO-V2-DEMOCRACYS-ACHILLES-HEEL]","e18478ee1676f1720abf7e766f7314c665ef501445120188ef1433177c8cada7","/research/democracys-achilles-heel/","archive-family; research-article","Volume II / Democracy · Institutions; Volume II / Democracy, institutions, and party power / Democracy’s Achilles’ Heel [primary]","Public author paper; Preview-only bounded text adaptation","IO-FAMILY-INDEPENDENT-OBSERVER-METHOD; IO-FAMILY-BORROWED-LABOR","none","RESOLVED_OR_NOT_APPLICABLE","KEEP"
"IO-FAMILY-DETAINED_AT_BORDER","Detained at the Border","src/data/archive-navigation.ts#archivePapers[detained-at-border]","NOT_RECORDED_IN_PUBLIC_CONTROLLER","NONE","archive-family","Volume II / Immigration, citizenship, and border / Detained at the border [primary]","Archive catalogue entry · editorial review","NONE","none","RESOLVED_OR_NOT_APPLICABLE","EXCLUDE"
"IO-FAMILY-DIGITAL_EMPIRE","The Digital Empire","src/data/archive-navigation.ts#archivePapers[digital-empire]","NOT_RECORDED_IN_PUBLIC_CONTROLLER","NONE","archive-family","Volume III / C. Macroeconomy, industrial power, and geopolitical infrastructure / Direct paper shelf [primary]","Archive catalogue entry · editorial review","NONE","none","RESOLVED_OR_NOT_APPLICABLE","EXCLUDE"
"IO-FAMILY-DISCONNECTED_HEARTS","Disconnected Hearts — The Tech Revolution of Intimacy","src/data/archive-navigation.ts#archivePapers[disconnected-hearts]; src/data/papers.ts#paperDocuments[disconnected-hearts]","eb982844da37f66ac593189df2c77964d955b918908338c94f1ab0cfde60e0d8","/library/documents/disconnected-hearts/","archive-family; paper-synopsis","Volume IV / Technology & Intimacy; Volume IV / Technology, cognition, and governance / Technology and cognition paper shelf [primary]","Public author paper; Author working paper","NONE","none","RESOLVED_OR_NOT_APPLICABLE","KEEP"
"IO-FAMILY-DIVORCE_GAP","The Divorce Gap","src/data/archive-navigation.ts#archivePapers[divorce-gap]","NOT_RECORDED_IN_PUBLIC_CONTROLLER","NONE","archive-family","Volume III / A. Marriage, ownership, tax, and wealth architecture / Marriage, family law, and wealth [primary]","Archive catalogue entry · editorial review","NONE","none","RESOLVED_OR_NOT_APPLICABLE","EXCLUDE"
"IO-FAMILY-DOCUMENTARY-PROJECTS-PRINT-CAPTURE","Documentary Projects — Independent Observer","src/data/documents.ts#reviewedDocuments","NOT_RECORDED_IN_PUBLIC_CONTROLLER","/library/documents/documentary-projects-print-capture/","document","Documentary desk","NOT_RELEASED","NONE","none","RESOLVED_OR_NOT_APPLICABLE","KEEP"
"IO-FAMILY-DOLLAR_VS_BRICS","Dollar vs. BRICS","src/data/archive-navigation.ts#archivePapers[dollar-vs-brics]","NOT_RECORDED_IN_PUBLIC_CONTROLLER","NONE","archive-family","Volume III / C. Macroeconomy, industrial power, and geopolitical infrastructure / Direct paper shelf [primary]","Archive catalogue entry · editorial review","NONE","none","RESOLVED_OR_NOT_APPLICABLE","EXCLUDE"
"IO-FAMILY-DOUBLE_TAX_ON_TIME","The Double Tax on Time: Why Women Pay for Both Biology and Bureaucracy","src/data/archive-navigation.ts#archivePapers[double-tax-on-time]; src/data/papers.ts#paperDocuments[double-tax-on-time]","46dc7321e61bf6855bfffb1f2abc9b0c391d08d94ee2cacac0250616ac26b371","/library/documents/double-tax-on-time/","archive-family; paper-synopsis","Volume IV / Gender & Political Economy; Volume III / A. Marriage, ownership, tax, and wealth architecture / Gender equity, time, and demographic economics [cross-volume]","Public author paper; Author working paper","NONE","none","RESOLVED_OR_NOT_APPLICABLE","KEEP"
"IO-FAMILY-ECONOMICS_OF_COLOR","The Economics of Color: Deindustrialization, Wealth Stratification, Race, Crime, and Identity","src/data/archive-navigation.ts#archivePapers[economics-of-color]","NOT_RECORDED_IN_PUBLIC_CONTROLLER","NONE","archive-family","Volume III / B. Deindustrialization, welfare, social control, and cultural displacement / Direct paper shelf [primary]","Archive catalogue entry · editorial review","NONE","none","RESOLVED_OR_NOT_APPLICABLE","EXCLUDE"
"IO-FAMILY-EDUCATION_RATIONAL_THINKING","Education and Rational Thinking","src/data/archive-navigation.ts#archivePapers[education-rational-thinking]","NOT_RECORDED_IN_PUBLIC_CONTROLLER","NONE","archive-family","Volume III / F. Education, medicine, health, and human capital / Education and rational thinking [cross-volume]; Volume IV / Human capability and development / Education and rational thinking [cross-volume]; Volume V / Education, rationality, and cognitive control / Education and rational thinking [primary]","Forthcoming collection · editorial review","NONE","intentional-cross-volume-or-book-relationship","RESOLVED_OR_NOT_APPLICABLE","EXCLUDE"
"IO-FAMILY-EMPIRE_BENEATH_DEMOCRACY","The Empire Beneath Democracy","src/data/archive-navigation.ts#archivePapers[empire-beneath-democracy]","NOT_RECORDED_IN_PUBLIC_CONTROLLER","NONE","archive-family","Volume II / Book and compilations / Empire Beneath Democracy [book]","Book compilation · editorial development","NONE","none","RESOLVED_OR_NOT_APPLICABLE","EXCLUDE"
"IO-FAMILY-EMPIRE_LEARNED_DISAPPEAR","The Empire That Learned to Disappear","src/data/archive-navigation.ts#archivePapers[empire-learned-disappear]","NOT_RECORDED_IN_PUBLIC_CONTROLLER","NONE","archive-family","Volume II / Empire, geopolitics, and sovereignty / American empire fade and network power [primary]","Archive catalogue entry · editorial review","NONE","none","RESOLVED_OR_NOT_APPLICABLE","EXCLUDE"
"IO-FAMILY-EMPIRE_WITHOUT_BREAD","Empire Without Bread","src/data/archive-navigation.ts#archivePapers[empire-without-bread]","NOT_RECORDED_IN_PUBLIC_CONTROLLER","NONE","archive-family","Volume III / C. Macroeconomy, industrial power, and geopolitical infrastructure / Direct paper shelf [primary]","Archive catalogue entry · editorial review","NONE","none","RESOLVED_OR_NOT_APPLICABLE","EXCLUDE"
"IO-FAMILY-EMPIRE-OF-DISTRACTION","The Empire of Distraction | The Empire of Distraction: Foreign Agenda-Setting, Malapportionment, and the Managed Myth of Popular Rule in the United States","src/data/archive-navigation.ts#archivePapers[empire-distraction]; src/data/papers.ts#paperDocuments[empire-of-distraction]","b2ecbfabcf3e623c90d60a5c4cf11e87e2b7949d44f1d34987505c50fb6b89b3","/library/documents/empire-of-distraction/","archive-family; paper-synopsis","Volume II / Institutions, Representation & Foreign Influence; Volume III / C. Macroeconomy, industrial power, and geopolitical infrastructure / Direct paper shelf [primary]","Archive catalogue entry · editorial review; Author working paper","NONE","placement-conflict; byte-identical-controller-and-categorized-copy; PDF-derivative","UNRESOLVED; current taxonomy was not guarded by an owner-approval hold","HOLD"
"IO-FAMILY-EMPIRES_MIRROR","Empire’s Mirror: Foreign Lobbying, Concentrated Wealth, and Imperial Self-Understanding","src/data/archive-navigation.ts#archivePapers[empires-mirror]","NOT_RECORDED_IN_PUBLIC_CONTROLLER","NONE","archive-family","Volume II / Democracy, institutions, and party power / Elite agenda setting and donor power [primary]","Archive catalogue entry · editorial review","NONE","none","RESOLVED_OR_NOT_APPLICABLE","EXCLUDE"
"IO-FAMILY-ENVIRONMENTAL-INSTABILITY","Environmental Instability, Developmental Timing, and Cognitive Divergence of Early Homo | Environmental Instability and Early Homo","src/data/archive-navigation.ts#archivePapers[environmental-instability]; src/data/clearance-queue.ts#nextClearanceQueue[environmental-instability-early-homo]","NOT_RECORDED_IN_PUBLIC_CONTROLLER","NONE","archive-family; clearance-queue","Volume IV; Volume IV / Human capability and development / Environmental instability and human development [primary]","Archive catalogue entry · editorial review; working_paper","NONE","not-cleared-for-public-release","RESOLVED_OR_NOT_APPLICABLE","HOLD"
"IO-FAMILY-FAMILY_WEALTH_MACHINE","The Family Wealth Machine","src/data/archive-navigation.ts#archivePapers[family-wealth-machine]","NOT_RECORDED_IN_PUBLIC_CONTROLLER","NONE","archive-family","Volume I / Quiet wealth, risk, and asset protection / Quiet wealth [primary]","Archive catalogue entry · editorial review","NONE","none","RESOLVED_OR_NOT_APPLICABLE","EXCLUDE"
"IO-FAMILY-FEAR_CIRCUIT","The Fear Circuit","src/data/archive-navigation.ts#archivePapers[fear-circuit]","NOT_RECORDED_IN_PUBLIC_CONTROLLER","NONE","archive-family","Volume II / Democracy, institutions, and party power / Crises, elections, and public outrage [primary]","Archive catalogue entry · editorial review","NONE","none","RESOLVED_OR_NOT_APPLICABLE","EXCLUDE"
"IO-FAMILY-FIRST_WITHOUT_SUPREMACY","First Without Supremacy","src/data/archive-navigation.ts#archivePapers[first-without-supremacy]","NOT_RECORDED_IN_PUBLIC_CONTROLLER","NONE","archive-family","Volume III / C. Macroeconomy, industrial power, and geopolitical infrastructure / Direct paper shelf [primary]","Archive catalogue entry · editorial review","NONE","none","RESOLVED_OR_NOT_APPLICABLE","EXCLUDE"
"IO-FAMILY-FLESH_TRAP","The Flesh Trap","src/data/archive-navigation.ts#archivePapers[flesh-trap]","NOT_RECORDED_IN_PUBLIC_CONTROLLER","NONE","archive-family","Volume IV / Technology, cognition, and governance / Technology and cognition paper shelf [primary]","Archive catalogue entry · editorial review","NONE","none","RESOLVED_OR_NOT_APPLICABLE","EXCLUDE"
"IO-FAMILY-FLOYD_KIRK","Floyd, Kirk, and the Politics of Public Outrage","src/data/archive-navigation.ts#archivePapers[floyd-kirk]","NOT_RECORDED_IN_PUBLIC_CONTROLLER","NONE","archive-family","Volume II / Democracy, institutions, and party power / Crises, elections, and public outrage [primary]; Volume III / E. Governance, legitimacy, and accountability / Connected archive records [cross-volume]","Archive catalogue entry · editorial review","NONE","intentional-cross-volume-or-book-relationship","RESOLVED_OR_NOT_APPLICABLE","EXCLUDE"
"IO-FAMILY-FORMATION_THROUGH_STRUGGLE","Formation Through Struggle","src/data/archive-navigation.ts#archivePapers[formation-through-struggle]","NOT_RECORDED_IN_PUBLIC_CONTROLLER","NONE","archive-family","Volume I / Foundational manifesto and method / Foundational manifesto versions [primary]","Archive catalogue entry · editorial review","NONE","none","RESOLVED_OR_NOT_APPLICABLE","EXCLUDE"
"IO-FAMILY-FROM_MAO_TO_MANUFACTURING_SOVEREIGNTY","From Mao to Manufacturing Sovereignty","src/data/clearance-queue.ts#nextClearanceQueue[from-mao-to-manufacturing-sovereignty]","NOT_RECORDED_IN_PUBLIC_CONTROLLER","NONE","clearance-queue","Volume II","working_paper","NONE","not-cleared-for-public-release","RESOLVED_OR_NOT_APPLICABLE","HOLD"
"IO-FAMILY-FROM_STEEL_TO_SCREENS","From Steel to Screens","src/data/archive-navigation.ts#archivePapers[from-steel-to-screens]","NOT_RECORDED_IN_PUBLIC_CONTROLLER","NONE","archive-family","Volume III / B. Deindustrialization, welfare, social control, and cultural displacement / Direct paper shelf [primary]","Archive catalogue entry · editorial review","NONE","none","RESOLVED_OR_NOT_APPLICABLE","EXCLUDE"
"IO-FAMILY-FROM-COLONIZATION-TO-CHINAS-RISE","From Colonization to China’s Rise: How Historical Power Shifts Still Shape Global Politics and Democracy","src/data/archive-navigation.ts#archivePapers[from-colonization-to-china]; src/data/papers.ts#paperDocuments[from-colonization-to-chinas-rise]","b2fcdf9450af2ce52ce50ef8f60abc4bd06e45a7af98d6e22a1b8af002cf0e51","/library/documents/from-colonization-to-chinas-rise/","archive-family; paper-synopsis","Volume II / History & Geopolitics; Volume II / Empire, geopolitics, and sovereignty / China, global order, and power shifts [primary]","Public author paper; Author working paper","NONE","none","RESOLVED_OR_NOT_APPLICABLE","KEEP"
"IO-FAMILY-FROM-VIETNAM-TO-TERRY-OHIO","From Vietnam to Terry v. Ohio: Investing in Human Failure vs. Human Potential","src/data/archive-navigation.ts#archivePapers[from-vietnam-terry]; src/data/papers.ts#paperDocuments[from-vietnam-to-terry-ohio]","02f0db78e3a69f476dde058798df6fd443d86ea7e560d008823f00a4ef57e9b9","/library/documents/from-vietnam-to-terry-ohio/","archive-family; paper-synopsis","Volume III / Welfare, Social Control & Human Capital; Volume III / B. Deindustrialization, welfare, social control, and cultural displacement / Direct paper shelf [primary]","Public author paper; Author working paper","NONE","none","RESOLVED_OR_NOT_APPLICABLE","KEEP"
"IO-FAMILY-GENELOCK","GeneLock: The Silent Sequence","src/data/archive-navigation.ts#archivePapers[genelock]","NOT_RECORDED_IN_PUBLIC_CONTROLLER","NONE","archive-family","Volume IV / Research projects / GeneLock project [project]","Research project · development","NONE","none","RESOLVED_OR_NOT_APPLICABLE","EXCLUDE"
"IO-FAMILY-GEOGRAPHY_ENSLAVED_WEALTH","The Geography of Enslaved Wealth: How Resource-Rich Lands Produce Poor Societies","src/data/archive-navigation.ts#archivePapers[geography-enslaved-wealth]","NOT_RECORDED_IN_PUBLIC_CONTROLLER","/library/documents/geography-of-enslaved-wealth/","archive-family","Volume II / Empire, geopolitics, and sovereignty / Resource wealth and competing economic systems [primary]","Public author paper","NONE","none","RESOLVED_OR_NOT_APPLICABLE","EXCLUDE"
"IO-FAMILY-GEOGRAPHY_OF_ENSLAVED_WEALTH","The Geography of Enslaved Wealth: How Resource-Rich Lands Produce Poor Societies","src/data/papers.ts#paperDocuments[geography-of-enslaved-wealth]","f210b85d5d946ea35cffb12e3b48d12f80b15297b1ffda89cdfd7d940d9abfe2","/library/documents/geography-of-enslaved-wealth/","paper-synopsis","Volume II / Resource Wealth & Political Economy","Author working paper","NONE","none","RESOLVED_OR_NOT_APPLICABLE","KEEP"
"IO-FAMILY-HEAVY-WATER-DATA-CENTER-COOLANT","Heavy Water Data Center Coolant Feasibility Study","src/data/clearance-queue.ts#nextClearanceQueue[heavy-water-data-center-coolant-feasibility]","NOT_RECORDED_IN_PUBLIC_CONTROLLER","NONE","clearance-queue","Volume III","working_paper","NONE","not-cleared-for-public-release","RESOLVED_OR_NOT_APPLICABLE","HOLD"
"IO-FAMILY-HIDDEN_MORAL_ECONOMY","The Hidden Moral Economy of Immigration","src/data/archive-navigation.ts#archivePapers[hidden-moral-economy]","NOT_RECORDED_IN_PUBLIC_CONTROLLER","NONE","archive-family","Volume III / D. Immigration, law enforcement, measurement, and labor dependence / Hidden moral economy and labor dependence [primary]","Archive catalogue entry · editorial review","NONE","none","RESOLVED_OR_NOT_APPLICABLE","EXCLUDE"
"IO-FAMILY-HIDDEN-TAXATION","Human Rights, Policing Doctrine, and Hidden Taxation in Modern U.S. Governance | Human Rights, Policing, and Hidden Taxation","src/data/archive-navigation.ts#archivePapers[hidden-taxation]; src/data/clearance-queue.ts#nextClearanceQueue[human-rights-policing-hidden-taxation]","NOT_RECORDED_IN_PUBLIC_CONTROLLER","NONE","archive-family; clearance-queue","Volume II; Volume II / Democracy, institutions, and party power / Bipartisan betrayal and party continuity [primary]","Archive catalogue entry · editorial review; working_paper","NONE","not-cleared-for-public-release","RESOLVED_OR_NOT_APPLICABLE","HOLD"
"IO-FAMILY-HOMELESSNESS_MANUFACTURE","Homelessness Manufacture","src/data/archive-navigation.ts#archivePapers[homelessness-manufacture]","NOT_RECORDED_IN_PUBLIC_CONTROLLER","NONE","archive-family","Volume III / B. Deindustrialization, welfare, social control, and cultural displacement / Direct paper shelf [primary]","Archive catalogue entry · editorial review","NONE","none","RESOLVED_OR_NOT_APPLICABLE","EXCLUDE"
"IO-FAMILY-HOURS_TO_OWNERSHIP","Hours to Ownership","src/data/archive-navigation.ts#archivePapers[hours-to-ownership]","NOT_RECORDED_IN_PUBLIC_CONTROLLER","NONE","archive-family","Volume III / A. Marriage, ownership, tax, and wealth architecture / AI, labor, and the post-industrial economy [primary]","Archive catalogue entry · editorial review","NONE","none","RESOLVED_OR_NOT_APPLICABLE","EXCLUDE"
"IO-FAMILY-HOW_EMPIRES_FAIL","How Empires Fail: Truth, Failure, and Strategic Blindness | How Empires Fail","src/data/archive-navigation.ts#archivePapers[how-empires-fail]; src/data/clearance-queue.ts#nextClearanceQueue[how-empires-fail]","NOT_RECORDED_IN_PUBLIC_CONTROLLER","NONE","archive-family; clearance-queue","Volume II; Volume II / Empire, geopolitics, and sovereignty / Truth, failure, and strategic blindness [primary]","Archive catalogue entry · editorial review; working_paper","NONE","not-cleared-for-public-release","RESOLVED_OR_NOT_APPLICABLE","HOLD"
"IO-FAMILY-HOW_EMPIRES_RULE_STRANGERS","How Empires Rule Strangers: Britain, India, and the Machinery of Distance","src/data/archive-navigation.ts#archivePapers[how-empires-rule-strangers]","NOT_RECORDED_IN_PUBLIC_CONTROLLER","NONE","archive-family","Volume II / Empire, geopolitics, and sovereignty / Colonial governance and imperial intermediaries [primary]","Archive catalogue entry · editorial review","NONE","none","RESOLVED_OR_NOT_APPLICABLE","EXCLUDE"
"IO-FAMILY-ILLUSION-OF-EQUALITY","The Illusion of Equality: The Founding Fathers’ Contradictions, The Flaws of Democracy, and The Future of U.S. Economic Influence","src/data/papers.ts#paperDocuments[the-illusion-of-equality]","3a5d9727dc807c97f3902af9ade8563afd0bfcd7f25c462bfc336d24b8ff4ea9","/library/documents/the-illusion-of-equality/","paper-synopsis","Volume I / Institutional Power & Political Economy","Author working paper","NONE","placement-conflict; duplicate-review-variants-excluded-from-public-record","UNRESOLVED; current taxonomy was not guarded by an owner-approval hold","HOLD"
"IO-FAMILY-INDEPENDENT_OBSERVER_VOLUME_ONE","Independent Observer: Critical Studies in Philosophy, Politics, Economics, and History — Volume I (Foundational Manifesto)","src/data/archive-navigation.ts#archivePapers[independent-observer-volume-one]; src/data/papers.ts#paperDocuments[independent-observer-volume-one]","c896a12b0fddc67185b85797606c752367592b72caac0cce0067d37263c86b94","/library/documents/independent-observer-volume-one/","archive-family; paper-synopsis","Volume I / Method & Democratic Capacity; Volume I / Foundational manifesto and method / Foundational manifesto versions [primary]","Public author paper; Author working paper","NONE","none","RESOLVED_OR_NOT_APPLICABLE","KEEP"
